id,product,color,size,quantity,currency,initial_price,expense_percentage,expense_fixed,final_price,sale_price,in_stock,is_active,no_change_product,no_change_color,no_change_size,no_change_brand,no_change_currency,delete?
87,12,7,5,10,,11,100,0,0,0,False,True,Jorap -6,No Variation,No Variation,VisneBebe,,
88,13,7,5,10,,11,100,10,32,32,True,True,Jorap -5,No Variation,No Variation,VisneBebe,,
89,14,7,5,10,,61,100,10,132,132,True,True,Jorap -4,No Variation,No Variation,VisneBebe,,
90,15,7,5,10,,60,100,10,130,130,True,True,Jorap -3,No Variation,No Variation,VisneBebe,,
91,16,7,5,10,,31,100,10,72,72,True,True,Jorap -2,No Variation,No Variation,VisneBebe,,
92,17,7,5,10,,71,100,10,152,152,True,True,Jorap -1,No Variation,No Variation,VisneBebe,,
93,18,7,5,10,,24,100,10,58,58,True,True,Koynek,No Variation,No Variation,VisneBebe,,
94,19,7,5,10,,31,100,10,72,72,True,True,Sweater,No Variation,No Variation,VisneBebe,,
95,20,7,5,10,,35,100,10,80,80,True,True,T-shirt,No Variation,No Variation,VisneBebe,,
96,21,7,5,10,,66,100,10,142,142,True,True,Body,No Variation,No Variation,VisneBebe,,
97,22,7,5,10,,18,100,10,46,46,True,True,caga esik dukanyndan,No Variation,No Variation,LCW,,
98,23,7,5,10,,71,100,10,152,152,True,True,Wrangler T-Shirt,No Variation,No Variation,LCW,,
99,24,7,5,10,,15,100,10,40,40,True,True,US Polo Jacket,No Variation,No Variation,LCW,,
100,25,7,5,10,,43,100,10,96,96,True,True,ATX-Jeans test,No Variation,No Variation,,,
,12,6,5,10,,11,100,0,0,0,False,True,Jorap -6,No Variation,No Variation,VisneBebe,,
,13,6,5,10,,11,100,10,32,32,True,True,Jorap -5,No Variation,No Variation,VisneBebe,,
,14,6,5,10,,61,100,10,132,132,True,True,Jorap -4,No Variation,No Variation,VisneBebe,,
,15,6,5,10,,60,100,10,130,130,True,True,Jorap -3,No Variation,No Variation,VisneBebe,,
,16,6,5,10,,31,100,10,72,72,True,True,Jorap -2,No Variation,No Variation,VisneBebe,,
,17,6,5,10,,71,100,10,152,152,True,True,Jorap -1,No Variation,No Variation,VisneBebe,,
,18,6,5,10,,24,100,10,58,58,True,True,Koynek,No Variation,No Variation,VisneBebe,,
,19,6,5,10,,31,100,10,72,72,True,True,Sweater,No Variation,No Variation,VisneBebe,,
,20,6,5,10,,35,100,10,80,80,True,True,T-shirt,No Variation,No Variation,VisneBebe,,
,21,6,5,10,,66,100,10,142,142,True,True,Body,No Variation,No Variation,VisneBebe,,
,22,6,5,10,,18,100,10,46,46,True,True,caga esik dukanyndan,No Variation,No Variation,LCW,,
,23,6,5,10,,71,100,10,152,152,True,True,Wrangler T-Shirt,No Variation,No Variation,LCW,,
,24,6,5,10,,15,100,10,40,40,True,True,US Polo Jacket,No Variation,No Variation,LCW,,
,25,6,5,10,,43,100,10,96,96,True,True,ATX-Jeans test,No Variation,No Variation,,,
,12,8,5,10,,11,100,0,0,0,False,True,Jorap -6,No Variation,No Variation,VisneBebe,,
,13,8,5,10,,11,100,10,32,32,True,True,Jorap -5,No Variation,No Variation,VisneBebe,,
,14,8,5,10,,61,100,10,132,132,True,True,Jorap -4,No Variation,No Variation,VisneBebe,,
,15,8,5,10,,60,100,10,130,130,True,True,Jorap -3,No Variation,No Variation,VisneBebe,,
,16,8,5,10,,31,100,10,72,72,True,True,Jorap -2,No Variation,No Variation,VisneBebe,,
,17,8,5,10,,71,100,10,152,152,True,True,Jorap -1,No Variation,No Variation,VisneBebe,,
,18,8,5,10,,24,100,10,58,58,True,True,Koynek,No Variation,No Variation,VisneBebe,,
,19,8,5,10,,31,100,10,72,72,True,True,Sweater,No Variation,No Variation,VisneBebe,,
,20,8,5,10,,35,100,10,80,80,True,True,T-shirt,No Variation,No Variation,VisneBebe,,
,21,8,5,10,,66,100,10,142,142,True,True,Body,No Variation,No Variation,VisneBebe,,
,22,8,5,10,,18,100,10,46,46,True,True,caga esik dukanyndan,No Variation,No Variation,LCW,,
,23,8,5,10,,71,100,10,152,152,True,True,Wrangler T-Shirt,No Variation,No Variation,LCW,,
,24,8,5,10,,15,100,10,40,40,True,True,US Polo Jacket,No Variation,No Variation,LCW,,
,25,8,5,10,,43,100,10,96,96,True,True,ATX-Jeans test,No Variation,No Variation,,,
