id,product,color,size,quantity,currency,initial_price,expense_percentage,expense_fixed,final_price,sale_price,in_stock,is_active,no_change_product,no_change_color,no_change_size,no_change_brand,no_change_currency,delete?
76,1,6,6,0,,35,100,0,70,70,False,True,tayakgap,No Variation,No Variation,VisneBebe,,
77,2,6,6,10,,100,100,0,200,200,True,True,sayakgap,No Variation,No Variation,VisneBebe,,
78,3,6,6,10,,100,100,0,200,200,True,True,mayakgap,No Variation,No Variation,VisneBebe,,
79,4,6,6,10,,100,100,0,200,200,True,True,Ayakgap,No Variation,No Variation,VisneBebe,,
80,5,6,6,10,,100,100,0,200,200,True,True,Kowus,No Variation,No Variation,VisneBebe,,
81,6,6,6,10,,150,100,0,300,300,True,True,Jeans,No Variation,No Variation,VisneBebe,,
82,7,6,6,10,,150,100,0,300,300,True,True,Pantalon,No Variation,No Variation,VisneBebe,,
83,8,6,6,10,,150,100,0,300,300,True,True,Jorap -10,No Variation,No Variation,VisneBebe,,
85,10,6,6,10,,200,100,0,400,400,True,True,Jorap -8,No Variation,No Variation,VisneBebe,,
86,11,6,6,10,,200,100,0,400,400,True,True,Jorap -7,No Variation,No Variation,VisneBebe,,
101,27,6,6,11,,2122,0,100,2222,2222,True,True,Laptop,No Variation,No Variation,Dell,,
